"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KOTAKBANK","EQ","19-May-2017","        942.85","        945.00","        947.50","        935.75","        937.00","        937.35","        940.22","    1242128","          1167875199.40","      29591","     858726","         69.13"
"KOTAKBANK","EQ","22-May-2017","        937.35","        942.50","        954.00","        937.35","        943.75","        941.25","        943.58","    1386033","          1307833947.65","      48056","     767074","         55.34"
"KOTAKBANK","EQ","23-May-2017","        941.25","        941.00","        946.10","        935.30","        941.80","        940.25","        940.46","    1370650","          1289038666.80","      19614","    1030969","         75.22"
"KOTAKBANK","EQ","24-May-2017","        940.25","        938.60","        943.40","        932.50","        934.25","        936.10","        937.49","    1014349","           950941413.45","      31187","     737480","         72.70"
"KOTAKBANK","EQ","25-May-2017","        936.10","        936.00","        962.50","        936.00","        954.95","        956.50","        951.52","    4144290","          3943367445.20","      70779","    2863061","         69.08"
"KOTAKBANK","EQ","26-May-2017","        956.50","        960.00","        969.55","        952.50","        962.00","        965.05","        963.82","    1633378","          1574286006.25","      58131","    1081131","         66.19"
"KOTAKBANK","EQ","29-May-2017","        965.05","        965.45","        970.60","        957.00","        968.45","        968.55","        965.24","    1110399","          1071803209.85","      28786","     664855","         59.88"
"KOTAKBANK","EQ","30-May-2017","        968.55","        966.95","        967.25","        955.55","        961.15","        961.95","        960.70","     632580","           607718768.75","      20484","     366799","         57.98"
"KOTAKBANK","EQ","31-May-2017","        961.95","        962.95","        971.30","        962.50","        965.05","        966.05","        966.00","    1351133","          1305195685.85","      54651","     995792","         73.70"
"KOTAKBANK","EQ","01-Jun-2017","        966.05","        963.35","        968.00","        958.90","        963.80","        962.65","        963.19","     757345","           729468746.65","      24843","     479583","         63.32"
"KOTAKBANK","EQ","02-Jun-2017","        962.65","        965.50","        972.50","        963.50","        965.00","        965.25","        965.86","     449924","           434565610.50","      22351","     289201","         64.28"
"KOTAKBANK","EQ","05-Jun-2017","        965.25","        965.90","        969.00","        959.45","        967.95","        967.00","        964.33","     834584","           804811251.15","      29729","     584224","         70.00"
